36th Parliament, 1st Session
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
102	Red Light Cameras Pilot Projects Act, 1998	
Clement, Hon. Tony Minister of Transportation
103	Members' Oath of Allegiance Act, 1998	
Agostino, Dominic
104	Taxpayers' Protection from Paying Al McLean's Legal Expenses Act, 1998	
Gerretsen, John
105	Consumer Protection Amendment Act, 1998	
Crozier, Bruce
106	Franchises Act, 1998	
Martin, Tony
107	Taxpayers' Bill of Rights, 1998	
Hastings, John
108	Streamlining of Administration of Provincial Offences Act, 1997	
Harnick, Hon. Charles Attorney General
109	Regional Municipality of Durham Statute Law Amendment Act, 1998	
Ouellette, Jerry J.
110	Assessment Amendment Act, 1998	
Christopherson, David
145	Protection against Pedophiles Act, 1997	
Brown, Jim
146	Farming and Food Production Protection Act, 1998	
Villeneuve, Hon. Noble Minister of Agriculture, Food and Rural Affairs
166	Good Samaritan Act, 1997	
Gilchrist, Steve

36th Parliament, 3rd Session
Bill title search
No.	Bill title	Sponsor
PR1	City of Ottawa Act, 1999	
Guzzo, Garry J.
1	An Act to perpetuate an Ancient Parliamentary Right	
Harris, Hon. Michael Premier
2	Medicine Amendment Act, 1999	
Kwinter, Monte
PR3	Peterborough Regional Health Centre Act, 1999	
Stewart, Gary
3	Loan and Trust Corporations Amendment Act, 1999	
Eves, Hon. Ernie Minister of Finance
4	Education Amendment Act (Mould Contamination in Portable Classrooms), 1999	
Wildman, Charles "Bud" Jackson
PR4	Canada Christian College and School of Graduate Theological Studies Act, 1999	
Klees, Frank
5	University of Ottawa Amendment Act, 1965	
Caplan, David
6	Child and Family Services Amendment Act (Child Welfare Reform), 1999	
Ecker, Hon. Janet Minister of Community and Social Services
7	Ministerial Travel Accountability Act, 1999	
Bartolucci, Rick
PR7	City of Windsor Act, 1999	
Pupatello, Sandra
PR8	Columbus Club of Sault Ste. Marie Act, 1999	
Martin, Tony
8	Vintners Quality Alliance Act, 1999	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
9	Nurses' Bill of Rights, 1999	
Bartolucci, Rick
10	Protection of Children involved in Prostitution Act, 1999	
Bartolucci, Rick
11	Lower Property Taxes in Sudbury Act, 1999	
Bartolucci, Rick
12	Red Tape Reduction Act, 1999	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
13	Health Insurance Amendment Act, 1999	
Duncan, Dwight
14	Ontario College of Teachers Amendment Act, 1999	
Wildman, Charles "Bud" Jackson
15	Saving Local Government in Norfolk and Haldimand Act, 1999	
Barrett, Toby
16	Endangered, Threatened and Vulnerable Species Act, 1999	
Wildman, Charles "Bud" Jackson
17	Fairness is a Two-Way Street Act (Construction Labour Mobility), 1999	
Flaherty, Hon. Jim Minister of Labour
18	Health Care Accountability and Patients' Bill of Rights Act, 1999	
Boyd, Marion
19	Christopher's Law (Sex Offender Registry), 1999	
Runciman, Hon. Robert W. Solicitor General and Minister of Correctional Services
20	Franchise Disclosure Act, 1999	
Tsubouchi, Hon. David H. Minister of Consumer and Commercial Relations
21	Automobile Insurance Consumer Protection Act, 1999	
Sampson, Hon. Rob Minister Without Portfolio
22	Gasoline Pricing Act, 1999	
Bradley, James J.
23	Consumer Protection Amendment Act, 1999	
Crozier, Bruce
24	Taxpayer Protection and Balanced Budget Act, 1999	
Harris, Hon. Michael Premier
25	Protection of Children on School Buses Act, 1999	
Hoy, Pat
26	Women's Institute Week Act, 1999	
Wildman, Charles "Bud" Jackson
27	Gas Price Watchdog Act, 1999	
Colle, Mike
28	Fair Gasoline Marketing Practices Act, 1999	
Crozier, Bruce
29	Mental Health Amendment Act, 1999	
Patten, Richard
30	Access to Occupations Act, 1999	
Silipo, Tony
31	Regional Municipality of Haldimand-Norfolk Statute Law Amendment Act, 1999	
Barrett, Toby
32	Student Health and Safety Programs Act, 1999	
Gravelle, Michael
33	Assessment Amendment Act, 1999	
Christopherson, David

37th Parliament, 1st Session
Bill title search
No.	Bill title	Sponsor
PR1	Harbourfront Trailer Park Ltd. Act, 1999	
Dunlop, Garfield
1	An Act to perpetuate an Ancient Parliamentary Right	
Harris, Hon. Michael Premier
PR2	City of Toronto Act (Traffic Calming), 2000	
Mushinski, Marilyn
2	Medicine Amendment Act, 1999	
Kwinter, Monte
3	Truth About Ipperwash Act, 1999	
Phillips, Gerry
PR3	Peterborough Regional Health Centre Act, 2000	
Stewart, Gary
PR4	Certified General Accountants Association of Ontario Act, 2000	
Wood, Bob
4	Legislative Assembly Statute Law Amendment Act, 1999	
Sterling, Hon. Norman W. Minister of Intergovernmental Affairs
5	Amendments Because of the Supreme Court of Canada Decision in M. v. H. Act, 1999	
Flaherty, Hon. Jim Attorney General
PR5	Ross Memorial Hospital Act, 2000	
Stewart, Gary
PR6	Association of Registered Interior Designers of Ontario Act, 1999	
Wood, Bob
6	Protection of Children involved in Prostitution Act, 1999	
Bartolucci, Rick
PR7	Town of Pickering Act, 1999	
O'Toole, John
7	Taxpayer Protection and Balanced Budget Act, 1999	
Harris, Hon. Michael Premier
PR8	Township of North Kawartha, Act, 1999	
Stewart, Gary
8	Safe Streets Act, 1999	
Flaherty, Hon. Jim Attorney General
PR9	City of Toronto Act (Tax Deferrals), 2000	
Mushinski, Marilyn
9	Police Records Checks by Non-profit Agencies Act, 1999	
Kormos, Peter
10	Student Health and Safety Programs Act, 1999	
Gravelle, Michael
PR11	City of Toronto Act (Graduated Tax Rates), 2000	
Mushinski, Marilyn
11	Red Tape Reduction Act, 1999	
Runciman, Hon. Robert W. Minister of Consumer and Commercial Relations
PR12	City of Toronto Act (Tenant Protection), 2000	
Mushinski, Marilyn
12	Oak Ridges Moraine Protection and Preservation Act, 1999	
Colle, Mike
PR13	Pembridge Insurance Company Act, 1999	
Wood, Bob
13	Ontario Marine Heritage Act, 1999	
Barrett, Toby
14	More Tax Cuts for Jobs, Growth and Prosperity Act, 1999	
Eves, Hon. Ernie Minister of Finance
PR14	Blue Mountain Village Association Act, 1999	
Murdoch, Bill
15	Great Lakes Environmental Protection Act, 2000	
Ouellette, Jerry J.
PR15	Kincardine Act, 1999, Municipality of	
Murdoch, Bill
16	Gasoline Pricing Act, 1999	
Bradley, James J.
PR16	Talpiot College Act, 2000	
Colle, Mike
PR17	Municipality of West Perth Act, 2000	
Johnson, Bert
17	Taxpayer Protection Act (Government Advertising Standards), 1999	
McGuinty, Dalton
18	Gas Price Watchdog Act, 1999	
Colle, Mike
PR18	Tilbury Area Public School Act (William J. Miller Trust), 2000	
Hoy, Pat
19	Assessment Amendment Act (Air Traffic Noise), 1999	
DeFaria, Carl
PR19	Redeemer University College Act, 2000	
Clark, Brad
20	Food Bank Accountability Act, 1999	
Spina, Joe
PR20	Ner Israel Yeshiva College Act, 2000	
Young, David
PR21	1264030 Ontario Inc. Act, 2000	
Bartolucci, Rick
21	Fairness is a Two-Way Street Act (Miners and Forestry Workers), 1999	
Ramsay, David
22	Sergeant Rick McDonald Memorial Act (Suspect Apprehension Pursuits), 1999	
Tsubouchi, Hon. David H. Solicitor General
PR22	Town of Greater Napanee Act, 2000	
Dombrowsky, Leona
23	Ministry of Health and Long-Term Care Statute Law Amendment Act, 1999	
Witmer, Hon. Elizabeth Minister of Health and Long-Term Care
PR24	Huron University College Act, 2000	
Wood, Bob
24	Protection of Children on School Buses Act, 1999	
Hoy, Pat
25	Fewer Municipal Politicians Act, 1999	
Clement, Hon. Tony Minister of Municipal Affairs and Housing
PR25	1274187 Ontario Limited Act, 2000	
Young, David
PR26	Bank of Nova Scotia Trust Company Act, 2000	
Mazzilli, Frank
26	Audit Amendment Act, 1999	
Sterling, Hon. Norman W. Minister of Intergovernmental Affairs
27	Pension Benefits Statute Law Amendment Act, 1999	
Eves, Hon. Ernie Minister of Finance
28	German Pioneers Day Act, 2000	
Wettlaufer, Wayne
PR28	KMFC Holdings Inc. Act, 2000	
Ouellette, Jerry J.
29	Ambulance Amendment Act (Minimum readiness), 1999	
Lalonde, Jean-Marc
PR30	Wycliffe College Act, 2000	
Smitherman, George
30	Municipal Amendment Act (Rental Housing Protection), 1999	
Marchese, Rosario
PR31	Municipality of Sioux Lookout" Act, 2000	
Hampton, Howard
31	Christopher's Law (Sex Offender Registry), 2000	
Tsubouchi, Hon. David H. Solicitor General
PR32	Canadian National Exhibition Association Act, 2000	
Kells, Morley
32	Highway Traffic Amendment Act (Youth Protection), 1999	
Bartolucci, Rick
PR33	Idlewyld Manor Act, 2000	
Christopherson, David
33	Arthur Wishart Act (Franchise Disclosure), 2000	
Runciman, Hon. Robert W. Minister of Consumer and Commercial Relations
PR34	St. Jerome 's University Act, 2000	
Wettlaufer, Wayne
34	Dangerous Goods Transportation Amendment Act (Nuclear Material), 1999	
Churley, Marilyn
35	Franchises Act, 1999	
Martin, Tony
36	Tenant Protection Amendment Act (Towards Fairness for Tenants), 1999	
Caplan, David
37	Collection Agencies Amendment Act, 2000	
Runciman, Hon. Robert W. Minister of Consumer and Commercial Relations
38	Genocide Memorial Week Act, 1999	
Wood, Bob
39	University of Ottawa Heart Institute Act, 1999	
Witmer, Hon. Elizabeth Minister of Health and Long-Term Care
40	Technology for Classrooms Tax Credit Act, 1999	
Hastings, John
41	State of Emergency Consumer Protection Act, 1999	
Bartolucci, Rick
42	Technical Standards and Safety Act, 2000	
Runciman, Hon. Robert W. Minister of Consumer and Commercial Relations
43	Assessment Amendment Act, 1999	
Christopherson, David
44	Public Transportation and Highway Improvement Amendment Act (Partisan Signs), 1999	
Gravelle, Michael
45	Toronto Waterfront Fair Housing Act, 1999	
Hampton, Howard
46	Fairness for Taxpayers Bill The more days in the House for the Premier and Fewer Cheap Photo Ops Act	
Phillips, Gerry
47	Mine Rescue Personnel Long Service Awards Act, 1999	
Martel, Shelley
48	Supply Act, 1999	
Eves, Hon. Ernie Minister of Finance
49	Tartan Act, 2000	
Murdoch, Bill
50	Municipal Amendment Act (Simcoe Day), 1999	
Hastings, John
51	Nouveaux Misérables Act, 2000	
Kormos, Peter
52	Petroleum Products Price Freeze Act, 2000	
Bartolucci, Rick
53	Care Homes Act, 2000	
McLeod, Lyn
54	Funeral Directors and Establishments Amendment Act (Funeral Services), 2000	
Sergio, Mario
55	Parental Responsibility Act, 2000	
Flaherty, Hon. Jim Attorney General
56	Ontario Realty Corporation Clean Up Act, 2000	
Agostino, Dominic
57	Highway Traffic Amendment Act (Studded Tires) 2000	
Bartolucci, Rick
58	Youth News Network-Style Marketing Prohibition Act, 2000	
Marchese, Rosario
59	Employment Standards Amendment Act (Raising the Minimum Wage), 2000	
Hampton, Howard
60	Fair Gasoline Marketing Practices Act, 2000	
Crozier, Bruce
61	Ministry of Correctional Services Amendment Act (Public Ownership and Staffing), 2000	
Kormos, Peter
62	Direct Democracy through municipal referendums Act, 2000	
Clement, Hon. Tony Minister of Municipal Affairs and Housing
63	Highway 407 Amendment Act, 2000	
Bisson, Gilles
64	Safe Streets Amendment Act, 2000	
Crozier, Bruce
65	Ontario Association of Former Parliamentarians Act, 2000	
Barrett, Toby
Bountrogianni, Marie
Chudleigh, Ted
Dunlop, Garfield
Levac, Dave
Marchese, Rosario
Munro, Julia
Gilchrist, Steve
66	Judicial Accountability Act, 2000	
Mushinski, Marilyn
67	Replica Firearms Regulation and Protection Act, 2000	
Bryant, Michael
68	Brian's Law (Mental Health Legislative Reform), 2000	
Witmer, Hon. Elizabeth Minister of Health and Long-Term Care
69	Labour Relations Amendment Act (Construction Industry), 2000	
Stockwell, Hon. Chris Minister of Labour
70	E-Commerce Act, 2000	
Hastings, John
71	Oak Ridges Moraine Green Planning Act, 2000	
Martel, Shelley
72	Taxpayer Dividend Act, 2000	
Eves, Hon. Ernie Minister of Finance
73	Raves Act, 2000	
Pupatello, Sandra
74	Education Accountability Act, 2000	
Ecker, Hon. Janet Minister of Education
75	Robert Baldwin Day Act, 2000	
Galt, Doug
76	Fish and Wildlife Conservation Amendment Act (Double-Crested Cormorants), 2000	
Brown, Michael A.
77	Ministerial Travel Accountability Act, 2000	
Bartolucci, Rick
78	Ontario Natural Heritage Act, 2000	
Gilchrist, Steve
79	City of Ottawa Amendment Act, 2000	
Boyer, Claudette
80	Compensation for Victims of Crime Amendment Act, 2000	
Duncan, Dwight
81	Safe Schools Act, 2000	
Ecker, Hon. Janet Minister of Education
82	Human Tissue Gift Amendment Act, 2000	
Lankin, Frances
83	Affordable Housing Incentives Act, 2000	
Caplan, David
84	Public Housing Preservation Act, 2000	
Marchese, Rosario
85	Premier and Cabinet Accountability Act, 2000	
Smitherman, George
86	Professional Geoscientists Act, 2000	
Hudak, Hon. Tim Minister of Northern Development and Mines
87	Public Inquiries Amendment Act, 2000	
Flaherty, Hon. Jim Attorney General
88	Electronic Commerce Act, 2000	
Flaherty, Hon. Jim Attorney General
89	Ministry of Correctional Services Amendment Act, 2000	
Kormos, Peter
90	Save Our Architectural Heritage Act, 2000	
Marchese, Rosario
91	Highway Traffic Amendment Act, 2000	
Turnbull, Hon. David Minister of Transportation
92	Code of Conduct for the Premier Act, 2000	
Marchese, Rosario
93	Privacy Enforcement and Accountability Act (Information and Privacy Statute Law Amendment), 2000	
Christopherson, David
94	Racing Commission Act, 2000	
Runciman, Hon. Robert W. Minister of Consumer and Commercial Relations
95	Protection of Minors from Sexually Explicit Goods and Services Act, 2000	
Wood, Bob
96	Safe Drinking Water Act, 2000	
Churley, Marilyn
97	Genocide Memorial Week Act, 2000	
Wood, Bob
98	Good Samaritan Act, 2000	
Gilchrist, Steve
99	Highway Traffic Amendment Act (Historic Vehicles), 2000	
O'Toole, John
100	Ontario Energy Board Amendment Act, 2000	
Wilson, Hon. Jim Minister of Energy, Science and Technology
101	Motorized Snow Vehicles Amendment Act, 2000	
Jackson, Hon. Cameron Minister of Tourism
102	Highway Traffic Amendment Act (Cellular Phones), 2000	
O'Toole, John
103	Inquiry into Police Investigations of Sexual Abuse Against Minors in the Cornwall Area Act, 2000	
Guzzo, Garry J.
104	Public Sector Employee's Severance Pay Act, 2000	
Bountrogianni, Marie
105	Tobacco Control Amendment Act, 2000	
Gilchrist, Steve
106	Lynn Henderson's Law (Workplace Safety and Insurance Amendment), 2000	
Christopherson, David
107	Firefighters' Memorial Day Act, 2000	
Levac, Dave
108	Adoption Disclosure Statute Law Amendment Act, 2000	
Churley, Marilyn
109	Nursing Homes Mandatory Annual Inspection Act, 2000	
Lankin, Frances
110	Professional Foresters Act, 2000	
Barrett, Toby
Bountrogianni, Marie
Chudleigh, Ted
Dunlop, Garfield
Levac, Dave
Marchese, Rosario
Munro, Julia
Gilchrist, Steve
111	Ontario Police Week Act, 2000	
Dunlop, Garfield
112	McMichael Canadian Art Collection Amendment Act, 2000	
Johns, Hon. Helen Minister of Citizenship, Culture and Recreation
113	Ontario Heritage Amendment Act, 2000	
Gilchrist, Steve
114	Victims' Bill of Rights Amendment Act, 2000	
Flaherty, Hon. Jim Attorney General
115	Oak Ridges Moraine Conservation, Protection and Promotion Act, 2000	
Colle, Mike
116	Intercountry Adoption Amendment Act, 2000	
Cordiano, Joseph
117	Domestic Violence Protection Act, 2000	
Flaherty, Hon. Jim Attorney General
118	Child and Family Services Amendment Act, 2000	
Martin, Tony
119	Red Tape Reduction Act, 2000	
Hodgson, Hon. Chris Chair of the Management Board of Cabinet
120	Highway Traffic Amendment Act (Ignition Interlock Device), 2000	
Dunlop, Garfield
121	Ontario Water Resources Amendment Act (Water Taking Permit Notification), 2000	
Dombrowsky, Leona
122	Highway Traffic Amendment Act (Driving While Suspended), 2000	
Bartolucci, Rick
123	World Teachers' Day Act	
Marchese, Rosario
124	Toughest Environmental Penalties Act, 2000	
Newman, Hon. Dan Minister of the Environment
125	Deaf-Blind Awareness Month Act, 2000	
Young, David
126	High-Tech Capital of Ontario Act, 2000	
Coburn, Brian
127	Rent Freeze Act, 2000	
Marchese, Rosario
128	Social Housing Reform Act, 2000	
Clement, Hon. Tony Minister of Municipal Affairs and Housing
129	OC Transpo Payments Act, 2000	
Clement, Hon. Tony Minister of Municipal Affairs and Housing
130	Toronto Garbage Lake Act, 2000	
Ramsay, David
131	Highway Traffic Amendment Act (Ignition Interlock Device), 2000	
Dunlop, Garfield
132	Ministry of Training, Colleges and Universities Statute Law Amendment Act, 2000	
Cunningham, Hon. Dianne Minister of Training, Colleges and Universities
133	Imitation Firearms Regulation Act, 2000	
Tsubouchi, Hon. David H. Solicitor General
134	Irish Heritage Day Act, 2000	
O'Toole, John
135	Public Hospitals Amendment Act (Patient Restraints), 2000	
Lankin, Frances
136	Election Signs Act, 2000	
Galt, Doug
137	Road User Customer Service Improvement Act, 2000	
Turnbull, Hon. David Minister of Transportation
138	Fair Parental Leave Act, 2000	
Martel, Shelley
139	Labour Relations Amendment Act, 2000	
